occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,"Ameiurus melas (Rafinesque, 1820)","Ameiurus melas (Rafinesque, 1820)","2340977","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Siluriformes","Ictaluridae","Ameiurus","Ameiurus melas","Ameiurus melas","(Rafinesque, 1820) ","2340977",
,"Axis axis (Erxleben, 1777)","Axis axis (Erxleben, 1777)","2440934","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Axis","Axis axis","Axis axis","(Erxleben, 1777) ","2440934",
,"Callosciurus finlaysonii (Horsfield, 1823)","Callosciurus finlaysonii (Horsfield, 1823)","2437399","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Callosciurus","Callosciurus finlaysonii","Callosciurus finlaysonii","(Horsfield, 1823) ","2437399",
,"Channa argus (Cantor, 1842)","Channa argus (Cantor, 1842)","4284921","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Perciformes","Channidae","Channa","Channa argus","Channa argus","(Cantor, 1842) ","4284921",
,"Faxonius rusticus (Girard, 1852)","Faxonius rusticus (Girard, 1852)","8979506","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Malacostraca","Decapoda","Cambaridae","Faxonius","Faxonius rusticus","Faxonius rusticus","(Girard, 1852) ","8979506",
,"Gambusia affinis (Baird & Girard, 1853)","Gambusia affinis (Baird & Girard, 1853)","2350580","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia affinis","Gambusia affinis","(Baird & Girard, 1853) ","2350580",
,"Gambusia holbrooki Girard, 1859","Gambusia holbrooki Girard, 1859","2350570","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata",,"Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia holbrooki","Gambusia holbrooki","Girard, 1859","2350570",
,"Hakea sericea Schrad. & J.C.Wendl.","Hakea sericea Schrad. & J.C.Wendl.","7287606","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Proteales","Proteaceae","Hakea","Hakea sericea","Hakea sericea","Schrad. & J.C.Wendl.","7287606",
,"Koenigia polystachya (Wall. ex Meisn.) T.M.Schust. & Reveal","Koenigia polystachya (Wall. ex Meisn.) T.M.Schust. & Reveal","8848208","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Koenigia","Koenigia polystachya","Koenigia polystachya","(Wall. ex Meisn.) T.M.Schust. & Reveal","8848208",
,"Lampropeltis getula (Linnaeus, 1766)","Lampropeltis getula (Linnaeus, 1766)","9799308","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Squamata",,"Colubridae","Lampropeltis","Lampropeltis getula","Lampropeltis getula","(Linnaeus, 1766) ","9799308",
,"Limnoperna fortunei (Dunker, 1857)","Limnoperna fortunei (Dunker, 1857)","5855350","EXACT","99","ACCEPTED","SPECIES","Animalia","Mollusca","Bivalvia","Mytilida","Mytilidae","Limnoperna","Limnoperna fortunei","Limnoperna fortunei","(Dunker, 1857) ","5855350",
,"Morone americana (Gmelin, 1789)","Morone americana (Gmelin, 1789)","2394604","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Perciformes","Moronidae","Morone","Morone americana","Morone americana","(Gmelin, 1789) ","2394604",
,"Pycnonotus cafer (Linnaeus, 1766)","Pycnonotus cafer (Linnaeus, 1766)","2486131","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Pycnonotidae","Pycnonotus","Pycnonotus cafer","Pycnonotus cafer","(Linnaeus, 1766) ","2486131",
,"Rugulopteryx okamurae (E.Y.Dawson) I.K.Hwang, W.J.Lee & H.S.Kim, 2009","Rugulopteryx okamurae (E.Y.Dawson) I.K.Hwang, W.J.Lee & H.S.Kim, 2009","5824863","EXACT","100","ACCEPTED","SPECIES","Chromista","Ochrophyta","Phaeophyceae","Dictyotales","Dictyotaceae","Rugulopteryx","Rugulopteryx okamurae","Rugulopteryx okamurae","(E.Y.Dawson) I.K.Hwang, W.J.Lee & H.S.Kim, 2009","5824863",
,"Solenopsis geminata (Fabricius, 1804)","Solenopsis geminata (Fabricius, 1804)","5035187","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Solenopsis","Solenopsis geminata","Solenopsis geminata","(Fabricius, 1804) ","5035187",
