ScientificName,AphiaID,Match type,ScientificName,Taxon status,AphiaID_accepted,ScientificName_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,isMarine,isBrackish,isFresh,isTerrestrial
Caretta caretta,137205,exact,Caretta caretta,accepted,137205,Caretta caretta,Animalia,Chordata,,Testudines,Cheloniidae,Caretta,,caretta,,1,,,
Chelonia mydas,137206,exact,Chelonia mydas,accepted,137206,Chelonia mydas,Animalia,Chordata,,Testudines,Cheloniidae,Chelonia,,mydas,,1,,,
Dermochelys coriacea,137209,exact,Dermochelys coriacea,accepted,137209,Dermochelys coriacea,Animalia,Chordata,,Testudines,Dermochelyidae,Dermochelys,,coriacea,,1,,,
Actitis hypoleucos,212603,exact,Actitis hypoleucos,accepted,212603,Actitis hypoleucos,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Actitis,,hypoleucos,,1,,1,1
Alca torda,137128,exact,Alca torda,accepted,137128,Alca torda,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Alca,,torda,,1,,,1
Anas acuta,158939,exact,Anas acuta,accepted,158939,Anas acuta,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,,acuta,,0,,1,1
Anas clypeata,158941,exact,Anas clypeata,unaccepted,1461476,Spatula clypeata,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,,clypeata,,0,,1,1
Anas crecca,158943,exact,Anas crecca,accepted,158943,Anas crecca,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,,crecca,,1,1,1,1
Anas penelope,159168,exact,Anas penelope,unaccepted,1464521,Mareca penelope,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,,penelope,,0,,1,1
Anas platyrhynchos,148791,exact,Anas platyrhynchos,accepted,148791,Anas platyrhynchos,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,,platyrhynchos,,1,1,1,1
Anser albifrons,159159,exact,Anser albifrons,accepted,159159,Anser albifrons,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,,albifrons,,0,,1,1
Anser anser,416682,exact,Anser anser,accepted,416682,Anser anser,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,,anser,,1,1,1,1
Arenaria interpres,147431,exact,Arenaria interpres,accepted,147431,Arenaria interpres,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Arenaria,,interpres,,1,,,1
Aythya ferina,232037,exact,Aythya ferina,accepted,232037,Aythya ferina,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,,ferina,,0,,1,1
Aythya fuligula,159164,exact,Aythya fuligula,accepted,159164,Aythya fuligula,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,,fuligula,,0,,1,1
Aythya marila,159172,exact,Aythya marila,accepted,159172,Aythya marila,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,,marila,,1,,,1
Branta bernicla,159175,exact,Branta bernicla,accepted,159175,Branta bernicla,Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,,bernicla,,1,1,,1
Branta canadensis,159176,exact,Branta canadensis,accepted,159176,Branta canadensis,Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,,canadensis,,0,,1,1
Branta leucopsis,159177,exact,Branta leucopsis,accepted,159177,Branta leucopsis,Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,,leucopsis,,0,,1,1
Bucephala clangula,159197,exact,Bucephala clangula,accepted,159197,Bucephala clangula,Animalia,Chordata,Aves,Anseriformes,Anatidae,Bucephala,,clangula,,0,,1,1
Bulweria bulwerii,137193,exact,Bulweria bulwerii,accepted,137193,Bulweria bulwerii,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Bulweria,,bulwerii,,1,,,1
Calidris alba,159084,exact,Calidris alba,accepted,159084,Calidris alba,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,,alba,,1,,,1
Calidris alpina,159047,exact,Calidris alpina,accepted,159047,Calidris alpina,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,,alpina,,1,1,1,1
Calidris canutus,147433,exact,Calidris canutus,accepted,147433,Calidris canutus,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,,canutus,,1,,,1
Calidris ferruginea,159049,exact,Calidris ferruginea,accepted,159049,Calidris ferruginea,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,,ferruginea,,1,,,1
Calidris maritima,159052,exact,Calidris maritima,accepted,159052,Calidris maritima,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,,maritima,,1,,,1
Calonectris borealis,1348497,exact,Calonectris borealis,accepted,1348497,Calonectris borealis,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Calonectris,,borealis,,1,,,1
Calonectris diomedea,137194,exact,Calonectris diomedea,accepted,137194,Calonectris diomedea,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Calonectris,,diomedea,,1,0,0,1
Calonectris diomedea,137194,exact,Calonectris diomedea,accepted,137194,Calonectris diomedea,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Calonectris,,diomedea,,1,0,0,1
Calonectris diomedea,137194,exact,Calonectris diomedea,accepted,137194,Calonectris diomedea,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Calonectris,,diomedea,,1,0,0,1
Cepphus grylle,137130,exact,Cepphus grylle,accepted,137130,Cepphus grylle,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Cepphus,,grylle,,1,,,1
Charadrius alexandrinus,212611,exact,Charadrius alexandrinus,accepted,212611,Charadrius alexandrinus,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,,alexandrinus,,1,,,1
Charadrius hiaticula,212619,exact,Charadrius hiaticula,accepted,212619,Charadrius hiaticula,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,,hiaticula,,1,1,1,1
