occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,"Acipenser ruthenus","Acipenser ruthenus Linnaeus, 1758","2402168","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Acipenseriformes","Acipenseridae","Acipenser","Acipenser ruthenus","Acipenser ruthenus","Linnaeus, 1758","2402168",
,"Adenophora lilifolia","Adenophora lilifolia Ledeb.","5604715","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","Adenophora","Adenophora lilifolia","Adenophora lilifolia","Ledeb.","5604715",
,"Aeshna viridis","Aeshna viridis Eversmann, 1836","1425187","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Aeshna","Aeshna viridis","Aeshna viridis","Eversmann, 1836","1425187",
,"Alburnus mento","Alburnus mento (Heckel, 1837)","2363021","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Cypriniformes","Cyprinidae","Alburnus","Alburnus mento","Alburnus mento","(Heckel, 1837) ","2363021",
,"Anisus vorticulus","Anisus vorticulus (Troschel, 1834)","4562143","EXACT","99","ACCEPTED","SPECIES","Animalia","Mollusca","Gastropoda",,"Planorbidae","Anisus","Anisus vorticulus","Anisus vorticulus","(Troschel, 1834) ","4562143",
,"Aquilegia alpina","Aquilegia alpina L.","3921499","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Aquilegia","Aquilegia alpina","Aquilegia alpina","L.","3921499",
,"Arnica montana","Arnica montana L.","5405976","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Arnica","Arnica montana","Arnica montana","L.","5405976",
,"Artemisia genipi","Artemisia genipi Stechm.","3120878","EXACT","98","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Artemisia","Artemisia genipi","Artemisia genipi","Stechm.","3120878",
,"Artemisia laciniata","Artemisia laciniata Willd.","3120923","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Artemisia","Artemisia laciniata","Artemisia laciniata","Willd.","3120923",
,"Artemisia pancicii","Artemisia pancicii Ronniger ex Danihelka & Marhold","3121387","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Artemisia","Artemisia pancicii","Artemisia pancicii","Ronniger ex Danihelka & Marhold","3121387",
,"Aspius aspius","Aspius aspius (Linnaeus, 1758)","2360181","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata",,"Cypriniformes","Cyprinidae","Leuciscus","Leuciscus aspius","Aspius aspius","(Linnaeus, 1758) ","2360181","5851603"
,"Asplenium adulterinum","Asplenium adulterinum Milde","2650652","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Aspleniaceae","Asplenium","Asplenium adulterinum","Asplenium adulterinum","Milde","2650652",
,"Astacus astacus","Astacus astacus (Linnaeus, 1758)","2226998","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Malacostraca","Decapoda","Astacidae","Astacus","Astacus astacus","Astacus astacus","(Linnaeus, 1758) ","2226998",
